Date,Close
15-09-22,107
16-09-22,105.699997
19-09-22,103.099998
20-09-22,105.800003
21-09-22,104.449997
22-09-22,103.599998
23-09-22,104.300003
26-09-22,99.849998
27-09-22,97.650002
28-09-22,95.199997
29-09-22,96.849998
30-09-22,99.300003
03-10-22,98.349998
04-10-22,101.150002
06-10-22,103.550003
07-10-22,103.300003
10-10-22,103.199997
11-10-22,100.349998
12-10-22,100.550003
13-10-22,100.099998
14-10-22,100.099998
17-10-22,99.550003
18-10-22,100.650002
19-10-22,100.050003
20-10-22,100.900002
21-10-22,100.199997
24-10-22,101.199997
25-10-22,101.199997
27-10-22,104.199997
28-10-22,101.599998
31-10-22,101.550003
01-11-22,101.199997
02-11-22,101.25
03-11-22,102
04-11-22,104.75
07-11-22,106.699997
09-11-22,106.099998
10-11-22,104.699997
11-11-22,107.550003
14-11-22,108.699997
15-11-22,108.550003
16-11-22,106.550003
17-11-22,105.849998
18-11-22,105.5
21-11-22,104.25
22-11-22,105.199997
23-11-22,105.449997
24-11-22,105.5
25-11-22,106.199997
28-11-22,104.900002
29-11-22,106.099998
30-11-22,107.650002
01-12-22,110.75
02-12-22,112
05-12-22,115.849998
06-12-22,112.949997
07-12-22,111.199997
08-12-22,111.849998
09-12-22,110.449997
12-12-22,111.699997
13-12-22,111.199997
14-12-22,113.050003
15-12-22,110.949997
16-12-22,111.050003
19-12-22,111.800003
20-12-22,110.949997
21-12-22,109.400002
22-12-22,107.650002
23-12-22,102.25
26-12-22,105
27-12-22,111.150002
28-12-22,110
29-12-22,111.75
30-12-22,112.650002
02-01-23,119.25
03-01-23,118.449997
04-01-23,115.75
05-01-23,116.550003
06-01-23,115.650002
09-01-23,117.550003
10-01-23,118.849998
11-01-23,118.849998
12-01-23,118.099998
13-01-23,120.449997
16-01-23,119.949997
17-01-23,119.349998
18-01-23,122.449997
19-01-23,123.550003
20-01-23,122.949997
23-01-23,122
24-01-23,120.400002
25-01-23,121
27-01-23,120.650002
30-01-23,118.75
31-01-23,119.699997
01-02-23,122.050003
02-02-23,119.949997
03-02-23,120.349998
06-02-23,117.449997
07-02-23,111.449997
08-02-23,111.449997
09-02-23,111.25
10-02-23,108.800003
13-02-23,108.75
14-02-23,109.25
15-02-23,110.300003
16-02-23,112
17-02-23,112.25
20-02-23,112.349998
21-02-23,113.150002
22-02-23,111.150002
23-02-23,112.050003
24-02-23,109.75
27-02-23,106.099998
28-02-23,103.949997
01-03-23,105.5
02-03-23,104.650002
03-03-23,107
06-03-23,105.650002
08-03-23,106.5
09-03-23,108.199997
10-03-23,108.099998
13-03-23,106.800003
14-03-23,106.400002
15-03-23,108.650002
16-03-23,105.050003
17-03-23,107
20-03-23,104.5
21-03-23,104.75
22-03-23,104.800003
23-03-23,104.900002
24-03-23,102.099998
27-03-23,102.300003
28-03-23,102.5
29-03-23,103.599998
31-03-23,104.5
03-04-23,104.099998
05-04-23,104.849998
06-04-23,104.349998
10-04-23,104.949997
11-04-23,107.550003
12-04-23,107.599998
13-04-23,107.5
17-04-23,107.150002
18-04-23,107.599998
19-04-23,108.099998
20-04-23,108
21-04-23,106.150002
24-04-23,106.5
25-04-23,107.050003
26-04-23,106.849998
27-04-23,107.650002
28-04-23,107.949997
02-05-23,110.300003
03-05-23,109.699997
04-05-23,111.050003
05-05-23,108.650002
08-05-23,109.550003
09-05-23,109.550003
10-05-23,109.25
11-05-23,108.550003
12-05-23,106.75
15-05-23,107.699997
16-05-23,107.400002
17-05-23,106
18-05-23,105.199997
19-05-23,104.650002
22-05-23,105
23-05-23,105.599998
24-05-23,105.199997
25-05-23,104.849998
26-05-23,106.400002
29-05-23,108.449997
30-05-23,107.050003
31-05-23,105.800003
01-06-23,105.949997
02-06-23,108
05-06-23,109.400002
06-06-23,109
07-06-23,111.5
08-06-23,111.150002
09-06-23,108.900002
12-06-23,109.5
13-06-23,111.150002
14-06-23,113.800003
15-06-23,113.75
16-06-23,114.25
19-06-23,114.099998
20-06-23,114.25
21-06-23,113.900002
22-06-23,111.099998
23-06-23,109.599998
26-06-23,109.849998
27-06-23,110.75
28-06-23,110.75
30-06-23,112
03-07-23,113.099998
04-07-23,112.400002
05-07-23,112.949997
06-07-23,112.650002
07-07-23,111.599998
10-07-23,115.300003
11-07-23,115.150002
12-07-23,114.699997
13-07-23,114.849998
14-07-23,117.150002
17-07-23,117.75
18-07-23,116.599998
19-07-23,116.699997
20-07-23,116.949997
21-07-23,116.599998
24-07-23,115.5
25-07-23,119.25
26-07-23,119.949997
27-07-23,119.800003
28-07-23,120.599998
31-07-23,123.150002
01-08-23,123.199997
02-08-23,118.949997
03-08-23,118.199997
04-08-23,119
07-08-23,118.849998
08-08-23,118.150002
09-08-23,120.199997
10-08-23,120
11-08-23,120.300003
14-08-23,118.150002
16-08-23,115.949997
17-08-23,116.050003
18-08-23,115.800003
21-08-23,116.900002
22-08-23,117.550003
23-08-23,118.949997
24-08-23,118.25
25-08-23,116.900002
28-08-23,117.599998
29-08-23,119.550003
30-08-23,122.099998
31-08-23,122.900002
01-09-23,127.050003
04-09-23,131.75
05-09-23,131.699997
06-09-23,129.600006
07-09-23,130.149994
08-09-23,129.5
11-09-23,131.149994
12-09-23,129
13-09-23,129.550003
14-09-23,131.699997
15-09-23,131.949997
